Trade Date,Investments,Ticker,Transaction,Transaction Amount,Share Price,Total shares
12/15/2016,DFA Emerging Markets Small Cap,DEMSX,Ordinary Dividend Reinvestment Increase,34.82,18.52,1.880,
12/15/2016,DFA Emerging Markets Small Cap,DEMSX,Ordinary Dividend Reinvestment Increase,18.53,18.52,1.001,
12/15/2016,DFA Emerging Markets Small Cap,DEMSX,Ordinary Dividend Reinvestment Increase,23.78,18.52,1.284,
12/15/2016,DFA Emerging Markets Small Cap,DEMSX,Long Term Capital Gain Reinvestment,59.67,18.52,3.222,
12/15/2016,DFA Emerging Markets Small Cap,DEMSX,Long Term Capital Gain Reinvestment,31.76,18.52,1.715,
12/15/2016,DFA Emerging Markets Small Cap,DEMSX,Long Term Capital Gain Reinvestment,40.75,18.52,2.200,
12/15/2016,DFA Emerging Markets Small Cap,DEMSX,Short Term Capital Gain Reinvestment,5.28,18.52,0.285,
12/15/2016,DFA Emerging Markets Small Cap,DEMSX,Short Term Capital Gain Reinvestment,2.81,18.52,0.152,
12/15/2016,DFA Emerging Markets Small Cap,DEMSX,Short Term Capital Gain Reinvestment,3.60,18.52,0.194,
11/08/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.73,20.29,-11.125,
11/08/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.13,20.29,-5.921,
11/08/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.14,20.29,-7.597,
11/07/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.72,20.18,-11.185,
11/07/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.13,20.18,-5.953,
11/07/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.15,20.18,-7.639,
10/24/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.72,20.67,-10.920,
10/24/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.14,20.67,-5.812,
10/24/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.14,20.67,-7.457,
10/20/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.72,20.60,-10.957,
10/20/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.14,20.60,-5.832,
10/20/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.14,20.60,-7.482,
10/18/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.72,20.51,-11.005,
10/18/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.13,20.51,-5.857,
10/18/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.15,20.51,-7.516,
10/10/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-677.16,20.66,-32.776,
10/10/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-360.40,20.66,-17.444,
10/10/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-462.44,20.66,-22.383,
10/05/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.72,20.75,-10.878,
10/05/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.13,20.75,-5.789,
10/05/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.15,20.75,-7.429,
09/29/2016,DFA Emerging Markets Small Cap,DEMSX,Ordinary Dividend Reinvestment Increase,4.48,20.43,0.219,
09/29/2016,DFA Emerging Markets Small Cap,DEMSX,Ordinary Dividend Reinvestment Increase,2.38,20.43,0.117,
09/29/2016,DFA Emerging Markets Small Cap,DEMSX,Ordinary Dividend Reinvestment Increase,3.06,20.43,0.150,
09/22/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-451.44,20.72,-21.788,
09/22/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-240.27,20.72,-11.596,
09/22/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-308.29,20.72,-14.879,
09/08/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-632.02,20.70,-30.532,
09/08/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-336.38,20.70,-16.250,
09/08/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-431.60,20.70,-20.850,
08/24/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.73,20.20,-11.175,
08/24/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.13,20.20,-5.947,
08/24/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.14,20.20,-7.631,
08/15/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.72,20.63,-10.941,
08/15/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.13,20.63,-5.823,
08/15/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.15,20.63,-7.472,
08/08/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-135.43,20.41,-6.636,
08/08/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-72.08,20.41,-3.532,
08/08/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-92.49,20.41,-4.532,
08/05/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-361.16,20.37,-17.730,
08/05/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-192.21,20.37,-9.436,
08/05/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-246.63,20.37,-12.107,
07/27/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-112.86,19.82,-5.694,
07/27/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-60.07,19.82,-3.031,
07/27/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-77.07,19.82,-3.889,
07/18/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.73,19.60,-11.517,
07/18/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.13,19.60,-6.129,
07/18/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.14,19.60,-7.864,
07/12/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.73,19.34,-11.672,
07/12/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.13,19.34,-6.212,
07/12/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.14,19.34,-7.970,
06/29/2016,DFA Emerging Markets Small Cap,DEMSX,Ordinary Dividend Reinvestment Increase,58.18,18.72,3.108,
06/29/2016,DFA Emerging Markets Small Cap,DEMSX,Ordinary Dividend Reinvestment Increase,30.96,18.72,1.654,
06/29/2016,DFA Emerging Markets Small Cap,DEMSX,Ordinary Dividend Reinvestment Increase,39.73,18.72,2.122,
06/08/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-112.86,18.97,-5.949,
06/08/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-60.07,18.97,-3.167,
06/08/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-77.07,18.97,-4.063,
06/07/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.73,18.80,-12.007,
06/07/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.13,18.80,-6.390,
06/07/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.14,18.80,-8.199,
06/03/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-541.73,18.41,-29.426,
06/03/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-288.32,18.41,-15.661,
06/03/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-369.95,18.41,-20.095,
06/01/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-451.44,18.17,-24.845,
06/01/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-240.27,18.17,-13.223,
06/01/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-308.29,18.17,-16.967,
05/25/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-451.44,17.99,-25.094,
05/25/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-240.27,17.99,-13.356,
05/25/2016,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-308.29,17.99,-17.137,
03/30/2016,DFA Emerging Markets Small Cap,DEMSX,Ordinary Dividend Reinvestment Increase,25.44,18.35,1.386,
03/30/2016,DFA Emerging Markets Small Cap,DEMSX,Ordinary Dividend Reinvestment Increase,13.54,18.35,0.738,
03/30/2016,DFA Emerging Markets Small Cap,DEMSX,Ordinary Dividend Reinvestment Increase,17.37,18.35,0.947,
12/15/2016,DFA Investment Grade,DFAPX,Ordinary Dividend Reinvestment Increase,4.62,10.58,0.437,
12/15/2016,DFA Investment Grade,DFAPX,Ordinary Dividend Reinvestment Increase,2.07,10.58,0.196,
12/15/2016,DFA Investment Grade,DFAPX,Ordinary Dividend Reinvestment Increase,3.08,10.58,0.291,
12/14/2016,DFA Investment Grade,DFAPX,Exchange Purchase,118.13,10.67,11.071,
12/14/2016,DFA Investment Grade,DFAPX,Exchange Purchase,53.03,10.67,4.970,
12/14/2016,DFA Investment Grade,DFAPX,Exchange Purchase,78.84,10.67,7.389,
12/13/2016,DFA Investment Grade,DFAPX,Exchange Purchase,118.13,10.73,11.009,
12/13/2016,DFA Investment Grade,DFAPX,Exchange Purchase,53.03,10.73,4.942,
12/13/2016,DFA Investment Grade,DFAPX,Exchange Purchase,78.84,10.73,7.348,
12/12/2016,DFA Investment Grade,DFAPX,Exchange Purchase,118.13,10.73,11.009,
12/12/2016,DFA Investment Grade,DFAPX,Exchange Purchase,53.03,10.73,4.942,
12/12/2016,DFA Investment Grade,DFAPX,Exchange Purchase,78.84,10.73,7.348,
12/09/2016,DFA Investment Grade,DFAPX,Exchange Purchase,118.13,10.73,11.009,
12/09/2016,DFA Investment Grade,DFAPX,Exchange Purchase,53.03,10.73,4.942,
12/09/2016,DFA Investment Grade,DFAPX,Exchange Purchase,78.84,10.73,7.348,
12/08/2016,DFA Investment Grade,DFAPX,Exchange Purchase,118.13,10.77,10.968,
12/08/2016,DFA Investment Grade,DFAPX,Exchange Purchase,53.03,10.77,4.924,
12/08/2016,DFA Investment Grade,DFAPX,Exchange Purchase,78.84,10.77,7.320,
12/06/2016,DFA Investment Grade,DFAPX,Exchange Purchase,117.87,10.76,10.954,
12/06/2016,DFA Investment Grade,DFAPX,Exchange Purchase,53.34,10.76,4.957,
12/06/2016,DFA Investment Grade,DFAPX,Exchange Purchase,78.79,10.76,7.322,
12/14/2016,DFA Emerging Markets Core Equity,DFCEX,Ordinary Dividend Reinvestment Increase,26.12,17.41,1.500,
12/14/2016,DFA Emerging Markets Core Equity,DFCEX,Ordinary Dividend Reinvestment Increase,13.87,17.41,0.797,
12/14/2016,DFA Emerging Markets Core Equity,DFCEX,Ordinary Dividend Reinvestment Increase,17.79,17.41,1.022,
11/08/2016,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-452.11,18.42,-24.544,
11/08/2016,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-239.99,18.42,-13.029,
11/08/2016,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-307.90,18.42,-16.715,
11/07/2016,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-226.06,18.28,-12.367,
11/07/2016,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-119.99,18.28,-6.564,
11/07/2016,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-153.95,18.28,-8.422,
