Trade Date,Investments,Ticker,Transaction,Transaction Amount,Share Price,Total shares
12/16/2015,DFA Emerging Markets Small Cap,DEMSX,Ordinary Dividend Reinvestment Increase,106.01,17.24,6.149,
12/16/2015,DFA Emerging Markets Small Cap,DEMSX,Ordinary Dividend Reinvestment Increase,56.42,17.24,3.273,
12/16/2015,DFA Emerging Markets Small Cap,DEMSX,Ordinary Dividend Reinvestment Increase,72.39,17.24,4.199,
12/16/2015,DFA Emerging Markets Small Cap,DEMSX,Long Term Capital Gain Reinvestment,62.89,17.24,3.648,
12/16/2015,DFA Emerging Markets Small Cap,DEMSX,Long Term Capital Gain Reinvestment,33.47,17.24,1.941,
12/16/2015,DFA Emerging Markets Small Cap,DEMSX,Long Term Capital Gain Reinvestment,42.95,17.24,2.491,
12/11/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,235.78,17.16,13.740,
12/11/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,110.67,17.16,6.449,
12/11/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,153.55,17.16,8.948,
12/09/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,235.78,17.69,13.328,
12/09/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,110.67,17.69,6.256,
12/09/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,153.55,17.69,8.680,
12/07/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,235.78,18.13,13.005,
12/07/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,110.67,18.13,6.104,
12/07/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,153.55,18.13,8.469,
09/29/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,46.11,17.20,2.681,
09/29/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,23.12,17.20,1.344,
09/29/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,30.77,17.20,1.789,
09/23/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,46.11,17.48,2.638,
09/23/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,23.12,17.48,1.323,
09/23/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,30.77,17.48,1.760,
09/18/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,133.72,17.97,7.441,
09/18/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,73.73,17.97,4.103,
09/18/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,92.55,17.97,5.150,
09/11/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,111.43,17.58,6.338,
09/11/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,61.44,17.58,3.495,
09/11/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,77.13,17.58,4.387,
09/09/2015,DFA Emerging Markets Small Cap,DEMSX,Ordinary Dividend Reinvestment Increase,69.40,17.36,3.998,
09/09/2015,DFA Emerging Markets Small Cap,DEMSX,Ordinary Dividend Reinvestment Increase,37.37,17.36,2.153,
09/09/2015,DFA Emerging Markets Small Cap,DEMSX,Ordinary Dividend Reinvestment Increase,47.61,17.36,2.743,
09/02/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,445.72,17.52,25.441,
09/02/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,245.76,17.52,14.027,
09/02/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,308.52,17.52,17.610,
09/01/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,260.87,17.41,14.984,
09/01/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,86.96,17.41,4.995,
09/01/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,152.17,17.41,8.740,
08/27/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,239.94,17.80,13.480,
08/27/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,106.74,17.80,5.997,
08/27/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,153.32,17.80,8.614,
08/17/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,445.73,18.98,23.484,
08/17/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,245.75,18.98,12.948,
08/17/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,308.52,18.98,16.255,
08/06/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,445.73,19.58,22.765,
08/06/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,245.76,19.58,12.552,
08/06/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,308.51,19.58,15.756,
08/05/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,445.72,19.69,22.637,
08/05/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,245.76,19.69,12.482,
08/05/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,308.52,19.69,15.669,
08/04/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,445.73,19.57,22.776,
08/04/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,245.76,19.57,12.558,
08/04/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,308.51,19.57,15.764,
08/03/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,445.72,19.51,22.846,
08/03/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,245.76,19.51,12.597,
08/03/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,308.52,19.51,15.813,
07/31/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,668.58,19.68,33.973,
07/31/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,368.64,19.68,18.732,
07/31/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,462.78,19.68,23.515,
07/30/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,445.72,19.61,22.729,
07/30/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,245.76,19.61,12.532,
07/30/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,308.52,19.61,15.733,
07/29/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,668.58,19.72,33.904,
07/29/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,368.64,19.72,18.694,
07/29/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,462.78,19.72,23.468,
07/28/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,891.44,19.61,45.458,
07/28/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,491.52,19.61,25.065,
07/28/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,617.04,19.61,31.466,
07/23/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,445.72,20.34,21.913,
07/23/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,245.76,20.34,12.083,
07/23/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,308.52,20.34,15.168,
07/22/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,457.41,20.54,22.269,
07/22/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,234.71,20.54,11.427,
07/22/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,307.88,20.54,14.989,
06/08/2015,DFA Emerging Markets Small Cap,DEMSX,Ordinary Dividend Reinvestment Increase,0.56,20.96,0.027,
06/08/2015,DFA Emerging Markets Small Cap,DEMSX,Ordinary Dividend Reinvestment Increase,0.32,20.96,0.015,
06/08/2015,DFA Emerging Markets Small Cap,DEMSX,Ordinary Dividend Reinvestment Increase,0.39,20.96,0.019,
05/01/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-848.23,22.04,-38.486,
05/01/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-479.43,22.04,-21.753,
05/01/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-595.75,22.04,-27.030,
04/23/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-1393.34,22.05,-63.190,
04/23/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-787.56,22.05,-35.717,
04/23/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-978.65,22.05,-44.383,
04/17/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-2391.04,21.99,-108.733,
04/17/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-1351.44,21.99,-61.457,
04/17/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-1679.33,21.99,-76.368,
04/14/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-456.85,21.93,-20.832,
04/14/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-258.20,21.93,-11.774,
04/14/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-320.86,21.93,-14.631,
03/18/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,244.85,20.30,12.062,
03/18/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,100.61,20.30,4.956,
03/18/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,154.54,20.30,7.613,
03/06/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,446.95,20.48,21.824,
03/06/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,237.70,20.48,11.606,
03/06/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,315.35,20.48,15.398,
03/05/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,245.82,20.59,11.939,
03/05/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,130.74,20.59,6.350,
03/05/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,173.44,20.59,8.424,
03/04/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,335.21,20.58,16.288,
03/04/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,178.28,20.58,8.663,
03/04/2015,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,236.51,20.58,11.492,
