Trade Date,Investments,Ticker,Transaction,Transaction Amount,Share Price,Total shares
02/09/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-147.22,20.31,-7.248,
02/09/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-78.36,20.31,-3.858,
02/09/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-100.55,20.31,-4.951,
02/06/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.72,20.12,-11.219,
02/06/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.13,20.12,-5.971,
02/06/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.15,20.12,-7.662,
02/02/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.72,19.95,-11.314,
02/02/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.13,19.95,-6.022,
02/02/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.15,19.95,-7.727,
02/01/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.72,19.78,-11.412,
02/01/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.14,19.78,-6.074,
02/01/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.14,19.78,-7.793,
01/25/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-451.44,19.64,-22.986,
01/25/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-240.26,19.64,-12.233,
01/25/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-308.30,19.64,-15.698,
01/24/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.72,19.58,-11.528,
01/24/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.14,19.58,-6.136,
01/24/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.14,19.58,-7.872,
01/23/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.72,19.43,-11.617,
01/23/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.14,19.43,-6.183,
01/23/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.14,19.43,-7.933,
01/20/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.72,19.28,-11.707,
01/20/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.14,19.28,-6.231,
01/20/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.14,19.28,-7.995,
01/12/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.72,19.24,-11.732,
01/12/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.14,19.24,-6.244,
01/12/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.14,19.24,-8.011,
01/11/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.72,19.05,-11.849,
01/11/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.14,19.05,-6.307,
01/11/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.14,19.05,-8.091,
01/10/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.72,18.95,-11.911,
01/10/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.14,18.95,-6.340,
01/10/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.14,18.95,-8.134,
01/05/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.72,19.03,-11.861,
01/05/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.14,19.03,-6.313,
01/05/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.14,19.03,-8.100,
03/30/2017,DFA Investment Grade,DFAPX,Ordinary Dividend Reinvestment Increase,39.29,10.74,3.658,
03/30/2017,DFA Investment Grade,DFAPX,Ordinary Dividend Reinvestment Increase,16.53,10.74,1.539,
03/30/2017,DFA Investment Grade,DFAPX,Ordinary Dividend Reinvestment Increase,25.17,10.74,2.344,
03/29/2017,DFA Investment Grade,DFAPX,Exchange Purchase,236.37,10.81,21.866,
03/29/2017,DFA Investment Grade,DFAPX,Exchange Purchase,107.42,10.81,9.937,
03/29/2017,DFA Investment Grade,DFAPX,Exchange Purchase,156.21,10.81,14.450,
03/28/2017,DFA Investment Grade,DFAPX,Exchange Purchase,472.75,10.79,43.814,
03/28/2017,DFA Investment Grade,DFAPX,Exchange Purchase,214.84,10.79,19.911,
03/28/2017,DFA Investment Grade,DFAPX,Exchange Purchase,312.41,10.79,28.954,
03/27/2017,DFA Investment Grade,DFAPX,Exchange Purchase,236.37,10.81,21.866,
03/27/2017,DFA Investment Grade,DFAPX,Exchange Purchase,107.42,10.81,9.937,
03/27/2017,DFA Investment Grade,DFAPX,Exchange Purchase,156.21,10.81,14.450,
03/24/2017,DFA Investment Grade,DFAPX,Exchange Purchase,236.37,10.79,21.906,
03/24/2017,DFA Investment Grade,DFAPX,Exchange Purchase,107.42,10.79,9.956,
03/24/2017,DFA Investment Grade,DFAPX,Exchange Purchase,156.21,10.79,14.477,
03/22/2017,DFA Investment Grade,DFAPX,Exchange Purchase,236.37,10.79,21.906,
03/22/2017,DFA Investment Grade,DFAPX,Exchange Purchase,107.42,10.79,9.956,
03/22/2017,DFA Investment Grade,DFAPX,Exchange Purchase,156.21,10.79,14.477,
03/21/2017,DFA Investment Grade,DFAPX,Exchange Purchase,236.37,10.78,21.927,
03/21/2017,DFA Investment Grade,DFAPX,Exchange Purchase,107.42,10.78,9.965,
03/21/2017,DFA Investment Grade,DFAPX,Exchange Purchase,156.21,10.78,14.491,
03/20/2017,DFA Investment Grade,DFAPX,Exchange Purchase,236.37,10.76,21.968,
03/20/2017,DFA Investment Grade,DFAPX,Exchange Purchase,107.42,10.76,9.983,
03/20/2017,DFA Investment Grade,DFAPX,Exchange Purchase,156.21,10.76,14.518,
03/17/2017,DFA Investment Grade,DFAPX,Exchange Purchase,236.37,10.74,22.008,
03/17/2017,DFA Investment Grade,DFAPX,Exchange Purchase,107.42,10.74,10.002,
03/17/2017,DFA Investment Grade,DFAPX,Exchange Purchase,156.21,10.74,14.545,
03/16/2017,DFA Investment Grade,DFAPX,Exchange Purchase,354.56,10.72,33.075,
03/16/2017,DFA Investment Grade,DFAPX,Exchange Purchase,161.13,10.72,15.031,
03/16/2017,DFA Investment Grade,DFAPX,Exchange Purchase,234.31,10.72,21.857,
03/15/2017,DFA Investment Grade,DFAPX,Exchange Purchase,472.75,10.73,44.059,
03/15/2017,DFA Investment Grade,DFAPX,Exchange Purchase,214.84,10.73,20.022,
03/15/2017,DFA Investment Grade,DFAPX,Exchange Purchase,312.41,10.73,29.116,
03/02/2017,DFA Investment Grade,DFAPX,Exchange Purchase,118.19,10.73,11.015,
03/02/2017,DFA Investment Grade,DFAPX,Exchange Purchase,53.71,10.73,5.006,
03/02/2017,DFA Investment Grade,DFAPX,Exchange Purchase,78.10,10.73,7.279,
02/15/2017,DFA Investment Grade,DFAPX,Exchange Purchase,470.67,10.70,43.988,
02/15/2017,DFA Investment Grade,DFAPX,Exchange Purchase,216.86,10.70,20.267,
02/15/2017,DFA Investment Grade,DFAPX,Exchange Purchase,312.47,10.70,29.203,
02/14/2017,DFA Investment Grade,DFAPX,Exchange Purchase,352.71,10.72,32.902,
02/14/2017,DFA Investment Grade,DFAPX,Exchange Purchase,162.93,10.72,15.199,
02/14/2017,DFA Investment Grade,DFAPX,Exchange Purchase,234.36,10.72,21.862,
02/13/2017,DFA Investment Grade,DFAPX,Exchange Purchase,235.14,10.74,21.894,
02/13/2017,DFA Investment Grade,DFAPX,Exchange Purchase,108.62,10.74,10.114,
02/13/2017,DFA Investment Grade,DFAPX,Exchange Purchase,156.24,10.74,14.547,
02/10/2017,DFA Investment Grade,DFAPX,Exchange Purchase,163.45,10.75,15.205,
02/10/2017,DFA Investment Grade,DFAPX,Exchange Purchase,9.62,10.75,0.895,
02/10/2017,DFA Investment Grade,DFAPX,Exchange Purchase,76.93,10.75,7.156,
02/09/2017,DFA Investment Grade,DFAPX,Exchange Purchase,163.47,10.76,15.192,
02/09/2017,DFA Investment Grade,DFAPX,Exchange Purchase,9.61,10.76,0.893,
02/09/2017,DFA Investment Grade,DFAPX,Exchange Purchase,76.92,10.76,7.149,
02/01/2017,DFA Investment Grade,DFAPX,Exchange Purchase,163.46,10.71,15.262,
02/01/2017,DFA Investment Grade,DFAPX,Exchange Purchase,9.62,10.71,0.898,
02/01/2017,DFA Investment Grade,DFAPX,Exchange Purchase,76.92,10.71,7.182,
01/25/2017,DFA Investment Grade,DFAPX,Exchange Purchase,472.65,10.68,44.256,
01/25/2017,DFA Investment Grade,DFAPX,Exchange Purchase,214.31,10.68,20.067,
01/25/2017,DFA Investment Grade,DFAPX,Exchange Purchase,313.04,10.68,29.311,
01/24/2017,DFA Investment Grade,DFAPX,Exchange Purchase,113.03,10.71,10.554,
01/24/2017,DFA Investment Grade,DFAPX,Exchange Purchase,60.00,10.71,5.602,
01/24/2017,DFA Investment Grade,DFAPX,Exchange Purchase,76.97,10.71,7.187,
01/20/2017,DFA Investment Grade,DFAPX,Exchange Purchase,118.47,10.70,11.072,
01/20/2017,DFA Investment Grade,DFAPX,Exchange Purchase,53.17,10.70,4.969,
01/20/2017,DFA Investment Grade,DFAPX,Exchange Purchase,78.36,10.70,7.323,
01/19/2017,DFA Investment Grade,DFAPX,Exchange Purchase,355.40,10.69,33.246,
01/19/2017,DFA Investment Grade,DFAPX,Exchange Purchase,159.50,10.69,14.921,
01/19/2017,DFA Investment Grade,DFAPX,Exchange Purchase,235.10,10.69,21.992,
01/18/2017,DFA Investment Grade,DFAPX,Exchange Purchase,118.47,10.72,11.051,
01/18/2017,DFA Investment Grade,DFAPX,Exchange Purchase,53.17,10.72,4.960,
01/18/2017,DFA Investment Grade,DFAPX,Exchange Purchase,78.36,10.72,7.310,
01/17/2017,DFA Investment Grade,DFAPX,Exchange Purchase,118.47,10.78,10.990,
01/17/2017,DFA Investment Grade,DFAPX,Exchange Purchase,53.17,10.78,4.932,
01/17/2017,DFA Investment Grade,DFAPX,Exchange Purchase,78.36,10.78,7.269,
01/13/2017,DFA Investment Grade,DFAPX,Exchange Purchase,118.09,10.73,11.006,
01/13/2017,DFA Investment Grade,DFAPX,Exchange Purchase,53.53,10.73,4.989,
01/13/2017,DFA Investment Grade,DFAPX,Exchange Purchase,78.38,10.73,7.305,
01/12/2017,DFA Investment Grade,DFAPX,Exchange Purchase,113.03,10.75,10.514,
01/12/2017,DFA Investment Grade,DFAPX,Exchange Purchase,60.00,10.75,5.581,
01/12/2017,DFA Investment Grade,DFAPX,Exchange Purchase,76.97,10.75,7.160,
01/11/2017,DFA Investment Grade,DFAPX,Exchange Purchase,118.32,10.74,11.017,
01/11/2017,DFA Investment Grade,DFAPX,Exchange Purchase,53.17,10.74,4.951,
01/11/2017,DFA Investment Grade,DFAPX,Exchange Purchase,78.51,10.74,7.310,
01/10/2017,DFA Investment Grade,DFAPX,Exchange Purchase,118.48,10.74,11.032,
01/10/2017,DFA Investment Grade,DFAPX,Exchange Purchase,52.96,10.74,4.931,
01/10/2017,DFA Investment Grade,DFAPX,Exchange Purchase,78.56,10.74,7.315,
01/09/2017,DFA Investment Grade,DFAPX,Exchange Purchase,118.48,10.74,11.032,
01/09/2017,DFA Investment Grade,DFAPX,Exchange Purchase,52.96,10.74,4.931,
01/09/2017,DFA Investment Grade,DFAPX,Exchange Purchase,78.56,10.74,7.315,
01/04/2017,DFA Investment Grade,DFAPX,Exchange Purchase,118.13,10.70,11.040,
01/04/2017,DFA Investment Grade,DFAPX,Exchange Purchase,53.03,10.70,4.956,
01/04/2017,DFA Investment Grade,DFAPX,Exchange Purchase,78.84,10.70,7.368,
01/03/2017,DFA Investment Grade,DFAPX,Exchange Purchase,187.50,10.69,17.540,
01/03/2017,DFA Investment Grade,DFAPX,Exchange Purchase,12.50,10.69,1.169,
01/03/2017,DFA Investment Grade,DFAPX,Exchange Purchase,50.00,10.69,4.677,
02/09/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-318.30,18.90,-16.841,
02/09/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-168.96,18.90,-8.940,
02/09/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-216.78,18.90,-11.470,
02/06/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-452.11,18.78,-24.074,
