Date,Investment,Transaction,Cash,Units,Price
12/30/16,Wells Fargo  Government MMkt S,Earnings,$1.45,1.4500,$1.0000
12/30/16,Wells Fargo  Government MMkt S,Transfer From Plan,$-1.45,-1.4500,$1.0000
12/30/16,Wells Fargo  High Yld Bond Adm,Earnings,$28.17,8.5360,$3.3000
12/30/16,Wells Fargo  High Yld Bond Adm,Transfer From Plan,$-28.17,-8.5360,$3.3000
12/30/16,Wells Fargo Core Bond Adm,Earnings,$33.68,2.6499,$12.7100
12/30/16,Wells Fargo Core Bond Adm,Transfer From Plan,$-33.68,-2.6499,$12.7100
12/29/16,Wells Fargo  Government MMkt S,Transfer From Plan,$-12837.82,-12837.8150,$1.0000
12/29/16,Wells Fargo  High Yld Bond Adm,Transfer From Plan,$-2178.33,-660.1010,$3.3000
12/29/16,Wells Fargo Core Bond Adm,Transfer From Plan,$-7348.01,-579.0395,$12.6900
12/21/16,Wells Fargo  Government MMkt S,Transfers,$-500.00,-500.0000,$1.0000
12/21/16,Wells Fargo Core Bond Adm,Transfers,$500.00,39.5570,$12.6400
12/16/16,PENDING INVESTMENT TRANSFER,Transfers In,$-108.42,-108.4200,$1.0000
12/16/16,PENDING INVESTMENT TRANSFER,Transfers In,$108.42,108.4200,$1.0000
12/16/16,Wells Fargo  Government MMkt S,Transfers In,$108.42,108.4200,$1.0000
12/16/16,Wells Fargo  Government MMkt S,Earnings-Traded,$0.00,0.0030,$1.0000
12/13/16,Wells Fargo  Government MMkt S,Transfers,$-500.00,-500.0000,$1.0000
12/13/16,Wells Fargo Core Bond Adm,Transfers,$500.00,39.4322,$12.6800
12/09/16,Wells Fargo  Government MMkt S,Transfers,$-500.00,-500.0000,$1.0000
12/09/16,Wells Fargo Core Bond Adm,Transfers,$500.00,39.4633,$12.6700
12/07/16,Wells Fargo Core Bond Adm,Earnings,$4.98,0.3909,$12.7400
12/07/16,Wells Fargo Core Bond Adm,Earnings,$24.07,1.8893,$12.7400
11/30/16,Wells Fargo  Government MMkt S,Earnings,$0.12,0.1200,$1.0000
11/30/16,Wells Fargo  High Yld Bond Adm,Earnings,$8.69,2.6740,$3.2500
11/30/16,Wells Fargo Core Bond Adm,Earnings,$6.44,0.5043,$12.7700
11/16/16,PENDING INVESTMENT TRANSFER,Transfers In,$-108.41,-108.4100,$1.0000
11/16/16,PENDING INVESTMENT TRANSFER,Transfers In,$108.41,108.4100,$1.0000
11/16/16,Wells Fargo  Government MMkt S,Transfers In,$108.41,108.4100,$1.0000
11/14/16,Wells Fargo  Government MMkt S,Transfers,$-1000.00,-1000.0000,$1.0000
11/14/16,Wells Fargo Core Bond Adm,Transfers,$1000.00,77.8210,$12.8500
10/31/16,Wells Fargo  Government MMkt S,Earnings,$0.13,0.1300,$1.0000
10/31/16,Wells Fargo  High Yld Bond Adm,Earnings,$10.18,3.0850,$3.3000
10/31/16,Wells Fargo Core Bond Adm,Earnings,$3.98,0.3038,$13.1000
10/27/16,Wells Fargo  Government MMkt S,Transfers,$-500.00,-500.0000,$1.0000
10/27/16,Wells Fargo Core Bond Adm,Transfers,$500.00,38.1679,$13.1000
10/24/16,Wells Fargo  Government MMkt S,Transfers,$-250.00,-250.0000,$1.0000
10/24/16,Wells Fargo Core Bond Adm,Transfers,$250.00,19.0114,$13.1500
10/21/16,Wells Fargo  Government MMkt S,Transfers,$250.00,250.0000,$1.0000
10/21/16,Wells Fargo  High Yld Bond Adm,Transfers,$-250.00,-75.0750,$3.3300
10/21/16,Wells Fargo  High Yld Bond Adm,Transfers,$-250.00,-75.0750,$3.3300
10/21/16,Wells Fargo Core Bond Adm,Transfers,$250.00,18.9825,$13.1700
10/18/16,Wells Fargo  Government MMkt S,Transfers,$250.00,250.0000,$1.0000
10/18/16,Wells Fargo  High Yld Bond Adm,Transfers,$-250.00,-75.3010,$3.3200
10/18/16,Wells Fargo  High Yld Bond Adm,Transfers,$-250.00,-75.3010,$3.3200
10/18/16,Wells Fargo Core Bond Adm,Transfers,$250.00,18.9970,$13.1600
10/17/16,PENDING INVESTMENT TRANSFER,Transfers In,$-108.41,-108.4100,$1.0000
10/17/16,PENDING INVESTMENT TRANSFER,Transfers In,$108.41,108.4100,$1.0000
10/17/16,Wells Fargo  Government MMkt S,Transfers In,$108.41,108.4100,$1.0000
10/14/16,Wells Fargo  Government MMkt S,Transfers,$-250.00,-250.0000,$1.0000
10/14/16,Wells Fargo Core Bond Adm,Transfers,$250.00,19.0549,$13.1200
10/11/16,Wells Fargo  Government MMkt S,Transfers,$-250.00,-250.0000,$1.0000
10/11/16,Wells Fargo Core Bond Adm,Transfers,$250.00,19.0404,$13.1300
10/10/16,Wells Fargo  Government MMkt S,Transfers,$750.00,750.0000,$1.0000
10/10/16,Wells Fargo  High Yld Bond Adm,Transfers,$-250.00,-75.3010,$3.3200
10/10/16,Wells Fargo  High Yld Bond Adm,Transfers,$-750.00,-225.9040,$3.3200
10/10/16,Wells Fargo Core Bond Adm,Transfers,$250.00,19.0259,$13.1400
10/03/16,Wells Fargo  Government MMkt S,Transfers,$1000.00,1000.0000,$1.0000
10/03/16,Wells Fargo  High Yld Bond Adm,Transfers,$-1000.00,-301.2050,$3.3200
09/30/16,Wells Fargo  Government MMkt S,Earnings,$0.12,0.1200,$1.0000
09/30/16,Wells Fargo  High Yld Bond Adm,Earnings,$24.22,7.3170,$3.3100
09/30/16,Wells Fargo Core Bond Adm,Earnings,$3.36,0.2542,$13.2200
09/22/16,Wells Fargo  Government MMkt S,Transfers,$1000.00,1000.0000,$1.0000
09/22/16,Wells Fargo  High Yld Bond Adm,Transfers,$-1000.00,-303.0300,$3.3000
09/21/16,Wells Fargo  Government MMkt S,Earnings-Traded,$0.00,0.0040,$1.0000
09/16/16,PENDING INVESTMENT TRANSFER,Transfers In,$-108.42,-108.4200,$1.0000
09/16/16,PENDING INVESTMENT TRANSFER,Transfers In,$108.42,108.4200,$1.0000
09/16/16,Wells Fargo  Government MMkt S,Transfers In,$108.42,108.4200,$1.0000
